library,iln,isil_code,short_name,loan_codes,material_codes
0001,11,DE-1a,"Berlin SBB Haus Potsdamer Str",du?,BEGKMSVX
0001/0001,11,DE-1,"Berlin SBB Haus Unter d.Linden",du?,BEGKMSVX
0003,65,DE-3,"Halle/S UuLB",bdu?,BEGKMSVX
0003/0001,65,DE-3-1,"Halle/S ZwB Vord. Orient",bdu?,BEGKMSVX
0003/0003,65,NULL,"ULB Halle keine Fernleihe",bdu,B
0003/0004,65,DE-3-4,"Halle/S ZwB Heide-Süd",bdu?,BEGKMSVX
0003/0006,65,DE-3-6,"Halle/S ZwB Altklinikum",bdu?,BEGKMSVX
0003/0007,65,DE-3-7,"Halle/S ZwB Zoologie",bdu?,BEGKMSVX
0003/0008,65,DE-3-8,"Halle/S ZwB Geobotanik",bdu?,BEGKMSVX
0003/0010,65,DE-3-10,"Halle/S ZwB Erziehungswiss.",bdu?,BEGKMSVX
0003/0011,65,DE-3-11,"Halle/S ZwB Rechtswiss.",bdu?,BEGKMSVX
0003/0018,65,DE-3-18,"Halle/S ZwB Kunstgesch",bdu?,BEGKMSVX
0003/0019,65,DE-3-19,"Halle/S ZwB Geowiss",bdu?,BEGKMSVX
0003/0020,65,DE-3-20,"Halle/S ZwB Neuphilologie",bdu?,BEGKMSVX
0003/0025,65,DE-3-25,"Halle/S ZwB Germanistik",bdu?,BEGKMSVX
0003/0026,65,DE-3-26,"Halle/S ZwB Altertumswiss.",bdu?,BEGKMSVX
0003/0027,65,DE-3-27,"Halle/S ZwB Wirtschaftswiss.",bdu?,BEGKMSVX
0003/0037,65,DE-3-37,"Halle/S ZwB Indogerm.",bdu?,BEGKMSVX
0003/0038,65,DE-3-38,"Halle/S ZwB Musikwiss.",bdu?,BEGKMSVX
0003/0075,65,DE-3-75,"Halle/S ZwB Philosoph.",bdu?,BEGKMSVX
0003/0086,65,DE-3-86,"Halle/S ZwB Brandbergweg",bdu?,BEGKMSVX
0003/0098,65,DE-3-98,"Halle/S ZwB Sozialwiss.",bdu?,BEGKMSVX
0003/0143,65,NULL,"ULB Halle Industrietox. <Ha 143>",NULL,NULL
0003/0150,65,DE-3-150,"Halle/S ZwB Kröllwitz",bdu?,BEGKMSVX
0003/0179,65,DE-3-179,"ULB Halle Aufkla?rung <3/179>",NULL,NULL
0003/0701,65,NULL,"ULB Halle Ackerbau <J103>",NULL,NULL
0003/0702,65,NULL,"ULB Halle Standortkunde <L134>",NULL,NULL
0003/0703,65,NULL,"ULB Halle Allg. Pflbau <L136>",NULL,NULL
0003/0704,65,NULL,"ULB Halle Pflanzenzucht <L 87>",NULL,NULL
0003/0901,65,NULL,"ULB Halle Stud. Bib. Med. <STUD>",NULL,NULL
0003/0902,65,NULL,"ULB Halle Katastr. Med. <MIL>",NULL,NULL
0003/0903,65,NULL,"ULB Halle Ackerbau <Ha 0>",NULL,NULL
0003/0904,65,NULL,"ULB Halle Ackerbau <GRU?>",NULL,NULL
0003/0906,65,NULL,"ULB Halle Uni-Archiv",NULL,NULL
0003/0908,65,NULL,"ULB Halle Kustodie",NULL,NULL
0003/0913,65,NULL,"ULB Halle Gesch. Med. <GEM>",NULL,NULL
0003/0914,65,NULL,"ULB Halle Tierzucht <IFT>",NULL,NULL
0003/0999,65,NULL,"ULB Halle Nicht FL",NULL,BEGKMSVX
0004,35,NULL,"UB Marburg <4>",bdu?,BEGKMSVX
0004/0999,35,NULL,"UB Marburg o.FL.",NULL,NULL
0005,28,NULL,"ULB Bonn <5>",bdu?,BEGKMSVX
0006,155,NULL,"UB Mu?nster <6>",bdu?,BEGKMSVX
0007,40,DE-7,"Göttingen SUB",bdu?,BEGKMSVX
0007/0001,40,DE-7-0001,"Göttingen BB Forstwiss.",bdu?,BEGKMSVX
0007/0006,40,DE-7-006,"Uni Go? Psychologie <7/006>",NULL,NULL
0007/0009,40,DE-7,"Göttingen SUB",bu?,BEGKMSVX
0007/0011,40,DE-7,"Göttingen SUB",bdu?,BEGKMSVX
0007/0015,40,DE-7,"Göttingen SUB",bdu?,BEGKMSVX
0007/0024,40,DE-7-024,"Uni Go? Romanistik<7/024>",NULL,NULL
0007/0037,40,DE-037,"Uni Go? Jurist. Sem. <7/037>",NULL,NULL
0007/0041,40,DE-7-041,"Uni Go? Vo?lkerrecht <7/041>",NULL,NULL
0007/0042,40,DE-7-042,"Uni Go? Theologie <7/042>",NULL,NULL
0007/0044,40,NULL,"Uni Go? Waldweg <7/44>",bdu?,BEGKMSVX
0007/0045,40,NULL,"SUB Go? Jur <7/45>",bdu?,BEGKMSVX
0007/0050,40,DE-7-050,"Uni Go? Pa?dagogik <7/050>",NULL,NULL
0007/0051,40,DE-7-051,"Uni Go? CeMEAS <7/051>",NULL,NULL
0007/0118,40,DE-7-118,"Uni Go? Landw.Recht <7/118>",NULL,NULL
0007/0140,40,DE-7-140,"Uni Go? Finn.-Ugr. Sem. <7/140>",NULL,NULL
0007/0148,40,DE-7-148,"Göttingen Wirt/Sozialw. Sem",NULL,BEGKMSVX
0007/0149,40,NULL,"SUB Go? Theol <7/149>",bdu?,BEGKMSVX
