sst,department,storage
AJ,@hss,Ebene -1
EIB1,@ha,
HA (.+),@ha,
HA ARCHIV,@haua,Ebene -1
HZ,@hss,Ebene -1
HZ (.+),@hss,Ebene -1
J 1,@gei,Ebene 3
J 1 (.+),@geiha, Ebene 3
J 105,@mst,
J 11,@med,
J 116,@beu,
J 117,@vor,
J 12,@nat,
J 12 (.+),@naha,
J 13,@herb,
J 135,@gei, Ebene 3
J 135 (.+),@geiha, Ebene 3
J 135 K,@gei, Ebene 3
J 135 M,@gei, Ebene 4
J 135 IS,@gei, Ebene 3
J 136,@mst,
J 138,@rewiuno,
J 14,@che,
J 14 (.+),@cheha,
J 14 LS,@che,
J 142,@rewi,
J 142 (.+),@rewiha,
J 144,@nat,
J 144 (.+),@naha,
J 145,@ha,
J 146,@mst,
J 151,@rewiedz,
J 151 M2,@rewiedzm,
J 16,@phy,
J 16 (.+),@phyha,
J 160,@gei,Ebene 3
J 161,@gei,Ebene 1
J 161  BW,@geiha, Ebene 1
J 161 KW,@geiha, Ebene 1
J 161 MW,@geiha, Ebene 1
J 19,@ast,
J 20,@nat,
J 20 (.+),@naha,
J 21,@gei,Ebene 4
J 21 (.+),@gei,Ebene 4
J 21 KU2,@geha,Ebene 4
J 22,@gei,Ebene 2
J 22 (.+),@geiha,Ebene 2
J 22 OR,@gei,Ebene 2
J 23,@gei,Ebene 2
J 23 (.+),@geiha, Ebene 2
J 23 VKD,@gei,Ebene 2
J 24,@nat,
J 24 (.+),@naha,
J 25,@gei,Ebene 3
J 25 (.+),@geiha, Ebene 3
J 26,@nat,
J 26 (.+),@naha,
J 28,@gei,Ebene 3
J 28 (.+),@geiha,Ebene 3
J 28 GL,@gei,Ebene 3
J 28 GR,@gei,Ebene 3
J 28 S,@gei,Ebene 3
J 28 W,@gei,Ebene 3
J 29,@mst,
J 30,@gei,Ebene 1
J 30 (.+),@geiha,
J 32,@med,
J 33,@rewi,
J 33 (.+),@rewiha,
J 33 M2,@rewimag,
J 35,@gei,Ebene 1
J 35 (.+),@geiha, Ebene 1
J 36,@nat,
J 36 (.+),@naha,
J 37,@gei,Ebene 1
J 37 (.+),@geiha, Ebene 1
J 39,@med,
J 40,@frau,
J 40 (.+),@frauha,
J 41,@mst,
J 41 (.+),@mstha,
J 42,@tll,
J 43,@med,
J 43 (.+),@medha,
J 44,@vor,
J 44K,@med,
J 47,@häck,
J 47 (.+),@naha,
J 48,@vor,
J 49,@gei,Ebene 2
J 49 (.+),@geiha2,
J 5,@med,
J 5 (.+),@medha,
J 50,@nat,
J 50 (.+),@naha,
J 53,@gei,Ebene 3
J 53 (.+),@geiha, Ebene 3
J 6,@psy,
J 64,@rewi,
J 64 (.+),@rewiha,
J 64 M2,@rewimag,
J 66,@spo,
J 66 (.+),@spoha,
J 66 M,@spoma,
J 6N,@med,
J 71,@nat,
J 71 (.+),@naha,
J 73,@med,
J 76,@vor,
J 76 (.+),@vorha,
J 8,@med,
J 84,@gei,Ebene 2
J 85,@geiha, Ebene 3
J 87,@med,
J 89,@ls,Ebene 0
J 9,@vor,
LBS,@lbs,Ebene 0
LBS J 142,@rewilbs,
LBS J 26,@natlbs,
LBS J 33,@rewilbs,
LBS J 43,@medlbs,
LBS J 64,@rewilbs,
LS,@ls,Ebene 0
MAG,@mag,
MAG3,@mag3,
MAG4,@mag4,
MLS,@mls,Ebene 1
NP,@gei,Ebene 3
SOST,@ha,

