"sst","department","storage"
"28/AUS-MAG","@","Außenmagazin Tannenweg"
"28-ARC","@","Universitätsarchiv"
"28-AVMZ","@","IT- und Medienzentrum"
"28-FHM","@","BB Südstadt: Magazin"
"28(.)BB1","@","BB Südstadt"
"28(.)BB1-DUT","@","BB Südstadt: Magazin"
"28(.)BB1-LBS","@","BB Südstadt: Lehrbuchsammlung"
"28(.)BB1-LSA","@","BB Südstadt: Lesesaal"
"28(.)BB1-MAG","@","BB Südstadt: Magazin"
"28(.)BB1-NBM","@","BB Südstadt: Mediathek"
"28(.)BB1-ULM","@","BB Südstadt"
"28(.)BB1-ZM1","@","BB Südstadt: Zeitschriftenmagazin 1"
"28(.)BB1-ZM2","@","BB Südstadt: Zeitschriftenmagazin 2"
"28(.)BB1-ZTA","@","BB Südstadt: Zeitungen Auslage"
"28(.)BB2","@","FB Geisteswissenschaften"
"28(.)BB2-ABR","@","FB Geisteswissenschaften (Bereitstellungsdauer von 5 Tagen bei der Bestellung beachten!)"
"28(.)BB2-FHM","@","Zeitschriftenmagazin Schwaansche Str.3a"
"28(.)BB2-MAG","@","FB Geisteswissenschaften: Magazin"
"28(.)BB2-NBM","@","FB Geisteswissenschaften"
"28(.)BB2-KAT","@","FB Geisteswissenschaften: Information"
"28(.)BB2-LS3","@","FB Geisteswissenschaften: R3023"
"28(.)BB2-LS4","@","FB Geisteswissenschaften: R4023"
"28(.)BB2-LS5","@","FB Geisteswissenschaften: R5028"
"28(.)BB2-LSA","@","FB Geisteswissenschaften"
"28(.)BB3","@","BB Südstadt"
"28(.)BB3-LBS","@","BB Südstadt: Lehrbuchsammlung"
"28(.)BB3-LSA","@","BB Südstadt: Lesesaal"
"28(.)BB3-MAG","@","BB Südstadt: Magazin"
"28(.)BB3-NBM","@","BB Südstadt: Mediathek"
"28(.)BB3-ZM1","@","BB Südstadt: Zeitschriftenmagazin 1"
"28(.)BB3-IMH","@","BB Südstadt: Magazin"
"28(.)BB4","@","BB Südstadt"
"28(.)BB4-LBS","@","BB Südstadt: Lehrbuchsammlung"
"28(.)BB4-LSA","@","BB Südstadt: Lesesaal"
"28(.)BB4-MAG","@","BB Südstadt: Magazin"
"28(.)BB4-NBM","@","BB Südstadt: Mediathek"
"28(.)BB4-ZM1","@","BB Südstadt: Zeitschriftenmagazin 1"
"28(.)BB4-ZM2","@","BB Südstadt: Zeitschriftenmagazin 2"
"28-PNZ","@","Patent- u. Normenzentrum"
"28-LSA","@","BB Südstadt: Lesesaal"
"28-MAG","@","Bücherspeicher Innenstadt "
"28-SON","@","Sondersammlungen"
"28-HAS","@","Sondersammlungen: Leseraum"
"28-HAS-S01","@","Sondersammlg. Semesterapparat: Holznagel,F.Prof."
"28-KDR","@","Bücherspeicher Innenstadt: Künstl.Drucke"
"28-MUS","@","Sondersammlungen: Musikalien"
"28-RAR","@","Sondersammlungen: Rara"
"28-UJB","@","Sondersammlungen: Uwe Johnson-Archiv"
"28-KAT","@","BB Südstadt: Lesesaal"
"28(.)001","@","Bücherspeicher Innenstadt "
"28(.)003","@","BB Südstadt: Magazin"
"28(.)BB2-S01S","@","FB Geisteswissenschaften Semesterapparat: Carnein,O. / Regal 6"
"28(.)BB2-S01W","@","FB Geisteswissenschaften Semesterapparat: Carnein,O. / Regal 6"
"28(.)BB2-S02S","@","FB Geisteswissenschaften Semesterapparat: Krüger,A. / Regal 6"
"28(.)BB2-S02W","@","FB Geisteswissenschaften Semesterapparat: Krüger,A. / Regal 6"
"28(.)BB2-S03S","@","FB Geisteswissenschaften Semesterapparat: Ramers,K.-H.Prof. / Regal 1"
"28(.)BB2-S03W","@","FB Geisteswissenschaften Semesterapparat: Ramers,K.-H.Prof. / Regal 1"
"28(.)BB2-S04S","@","FB Geisteswissenschaften Semesterapparat: Gierschner,B. / Regal 4"
"28(.)BB2-S04W","@","FB Geisteswissenschaften Semesterapparat: Gierschner,B. / Regal 4"
"28(.)BB2-S05S","@","FB Geisteswissenschaften Semesterapparat: Rabe-Maticevic,S. / Regal 6"
"28(.)BB2-S05W","@","FB Geisteswissenschaften Semesterapparat: Rabe-Maticevic,S. / Regal 6"
"28(.)BB2-S06S","@","FB Geisteswissenschaften Semesterapparat: Wallat,R.Dr. / Regal 4"
"28(.)BB2-S06W","@","FB Geisteswissenschaften Semesterapparat: Wallat,R.Dr. / Regal 4"
"28(.)BB2-S07","@","FB Geisteswissenschaften Semesterapparat: BATS-Grundkurs Anglistik/Amerikanistik / Regal 2"
"28(.)BB2-S08S","@","FB Geisteswissenschaften Semesterapparat: Mackenthun,G.Dr. / Regal 3"
"28(.)BB2-S08W","@","FB Geisteswissenschaften Semesterapparat: Mackenthun,G.Dr. / Regal 3"
"28(.)BB2-S09","@","FB Geisteswissenschaften Semesterapparat: Rahn,Th.Dr. / Regal 9"
"28(.)BB2-S10S","@","FB Geisteswissenschaften Semesterapparat: Loist,S.Dr. / Regal 13"
"28(.)BB2-S10W","@","FB Geisteswissenschaften Semesterapparat: Loist,S.Dr. / Regal 13"
"28(.)BB2-S11S","@","FB Geisteswissenschaften Semesterapparat: Peter,J. / Regal 15"
"28(.)BB2-S11W","@","FB Geisteswissenschaften Semesterapparat: Peter,J. / Regal 15"
"28(.)BB2-S12S","@","FB Geisteswissenschaften Semesterapparat: Arnold,D. / Regal 12"
"28(.)BB2-S12W","@","FB Geisteswissenschaften Semesterapparat: Arnold,D. / Regal 12"
"28(.)BB2-S13S","@","FB Geisteswissenschaften Semesterapparat: Jungmann,T.Prof. / Regal 6"
"28(.)BB2-S13W","@","FB Geisteswissenschaften Semesterapparat: Jungmann,T.Prof. / Regal 6"
"28(.)BB2-S14S","@","FB Geisteswissenschaften Semesterapparat: Buschmann,A.Prof. / Regal 16"
"28(.)BB2-S14W","@","FB Geisteswissenschaften Semesterapparat: Buschmann,A.Prof. / Regal 16"
"28(.)BB2-S15S","@","FB Geisteswissenschaften Semesterapparat: Krüger,C. / Regal 12"
"28(.)BB2-S15W","@","FB Geisteswissenschaften Semesterapparat: Krüger,C. / Regal 12"
"28(.)BB2-S16S","@","FB Geisteswissenschaften Semesterapparat: Radisch,F.Prof."
"28(.)BB2-S16W","@","FB Geisteswissenschaften Semesterapparat: Radisch,F.Prof."
"28(.)BB2-S17S","@","FB Geisteswissenschaften Semesterapparat: Berndt,C. / Regal 6"
"28(.)BB2-S17W","@","FB Geisteswissenschaften Semesterapparat: Berndt,C. / Regal 6"
"28(.)BB2-S18S","@","FB Geisteswissenschaften Semesterapparat: Tuczek,S. / Regal 12"
"28(.)BB2-S18W","@","FB Geisteswissenschaften Semesterapparat: Tuczek,S. / Regal 12"
"28(.)BB2-S19","@","FB Geisteswissenschaften Semesterapparat: Tutoren/IASP / Regal 5"
"28(.)BB2-S20S","@","FB Geisteswissenschaften Semesterapparat: Ewald,P.Prof. / Regal 11"
"28(.)BB2-S20W","@","FB Geisteswissenschaften Semesterapparat: Ewald,P.Prof. / Regal 11"
"28(.)BB2-S21","@","FB Geisteswissenschaften Semesterapparat: Perleth,Chr.Prof/Mantey,M. / Regal 8"
"28(.)BB2-S22","@","FB Geisteswissenschaften Semesterapparat: Rossow,H.Dr. / Regal 2"
"28(.)BB2-S23S","@","FB Geisteswissenschaften Semesterapparat: Prommer,E.Prof. / Regal 13"
"28(.)BB2-S23W","@","FB Geisteswissenschaften Semesterapparat: Prommer,E.Prof. / Regal 13"
"28(.)BB2-S24S","@","FB Geisteswissenschaften Semesterapparat: Götz,U.Dr. / Regal 10"
"28(.)BB2-S24W","@","FB Geisteswissenschaften Semesterapparat: Götz,U.Dr. / Regal 10"
"28(.)BB2-S25S","@","FB Geisteswissenschaften Semesterapparat: Kaiser,F.X.Prof. / Regal 7"
"28(.)BB2-S25W","@","FB Geisteswissenschaften Semesterapparat: Kaiser,F.X.Prof. / Regal 7"
"28(.)BB2-S26S","@","FB Geisteswissenschaften Semesterapparat: Morawiak,U. / Regal 4"
"28(.)BB2-S26W","@","FB Geisteswissenschaften Semesterapparat: Morawiak,U. / Regal 4"
"28(.)BB2-S27","@","FB Geisteswissenschaften Semesterapparat: Sprachgeschichte Mittelhochdeutsch / Regal 10"
"28(.)BB2-S28S","@","FB Geisteswissenschaften Semesterapparat: Braun,H./Labahn,K. / Regal 9"
"28(.)BB2-S28W","@","FB Geisteswissenschaften Semesterapparat: Braun,H./Labahn,K. / Regal 9"
"28(.)BB2-S29S","@","FB Geisteswissenschaften Semesterapparat: Behrens,Ch. / Schwan,T.Dr. / Regal 15"
"28(.)BB2-S29W","@","FB Geisteswissenschaften Semesterapparat: Behrens,Ch. / Schwan,T.Dr. / Regal 15"
"28(.)BB2-S30","@","FB Geisteswissenschaften Semesterapparat: Hartke,B.Dr. / Regal 5"
"28(.)BB2-S31S","@","FB Geisteswissenschaften Semesterapparat: Zastrow,A.Dr. / Regal 12"
"28(.)BB2-S31W","@","FB Geisteswissenschaften Semesterapparat: Zastrow,A.Dr. / Regal 12"
"28(.)BB2-S32S","@","FB Geisteswissenschaften Semesterapparat: Kroll,S.Dr. / Regal 13"
