sst,department,storage,limitation
1020,@golm,,
1021,@golm,,
1042,@golm,,
1043,@golm,,
1060,@golm,Lehrbuchsammlung,
1260,@golm,Lehrbuchsammlung,
1280,@golm,Semesterapparat,
1303,@golm,,
1305,@golm,,
1306,@golm,Multimediaraum,
1309,@golm,,
1310,@golm,,
1311,@golm,Multimediaraum,
1312,@golm,,
1314,@golm,,
1319,@golm,,
1320,@golm,Multimediaraum,
1321,@golm,,
1322,@golm,Multimediaraum,
1341,@golm,,
1342,@golm,,
1343,@golm,,
1380,@golm,,
2000,@golm,,
2001,@golm,,
2010,@golm,"Zeitschriften, 3. Obergeschoß",
2011,@golm,"Zeitschriften, 3. Obergeschoß",
2050,@golm,,
2051,@golm,,
2080,@golm,Semesterapparat,
2101,@golm,Multimediaraum,
2102,@golm,Multimediaraum,
2104,@golm,Multimediaraum,
2105,@golm,Multimediaraum,
2150,@golm,,
2152,@golm,Multimediaraum,
2153,@golm,,
2154,@golm,,
2156,@golm,Multimediaraum,
2160,@golm,Lehrbuchsammlung,
2161,@golm,Lehrbuchsammlung,
2170,@golm,,
2172,@golm,Zeitschriften Deutsche Geowissenschaftliche Gesellschaft,
2173,@golm,Zeitschriften Deutsche Geowissenschaftliche Gesellschaft,
2174,@golm,Zeitschriften Deutsche Geowissenschaftliche Gesellschaft,
2175,@golm,,
2176,@golm,,
2177,@golm,,
2178,@golm,,
2180,@golm,Semesterapparat,
2205,@golm,,
2953,@golm,Bestand an der Ausleihtheke,
2103,@golm,Magazin,"Bestellen Sie bitten über den Online-Katalog der UB. Bereitstellung in der BB Golm (mindestens eine Stunde vorher bestellt: Mo - Fr: 09:00, 12:00 und 15:00 Uhr. Bereitstellung an anderen Standorten: i.d.R. am nächsten Öffnungstag, ausgenommen Samstag und Sonntag"
2106,@golm,Magazin,"Bestellen Sie bitten über den Online-Katalog der UB. Bereitstellung in der BB Golm (mindestens eine Stunde vorher bestellt: Mo - Fr: 09:00, 12:00 und 15:00 Uhr. Bereitstellung an anderen Standorten: i.d.R. am nächsten Öffnungstag, ausgenommen Samstag und Sonntag"
2151,@golm,Magazin,"Bestellen Sie bitten über den Online-Katalog der UB. Bereitstellung in der BB Golm (mindestens eine Stunde vorher bestellt: Mo - Fr: 09:00, 12:00 und 15:00 Uhr. Bereitstellung an anderen Standorten: i.d.R. am nächsten Öffnungstag, ausgenommen Samstag und Sonntag"
2155,@golm,Magazin,"Bestellen Sie bitten über den Online-Katalog der UB. Bereitstellung in der BB Golm (mindestens eine Stunde vorher bestellt: Mo - Fr: 09:00, 12:00 und 15:00 Uhr. Bereitstellung an anderen Standorten: i.d.R. am nächsten Öffnungstag, ausgenommen Samstag und Sonntag"
2171,@golm,Magazin,"Bestellen Sie bitten über den Online-Katalog der UB. Bereitstellung in der BB Golm (mindestens eine Stunde vorher bestellt: Mo - Fr: 09:00, 12:00 und 15:00 Uhr. Bereitstellung an anderen Standorten: i.d.R. am nächsten Öffnungstag, ausgenommen Samstag und Sonntag"
2200,@golm,Magazin,"Bestellen Sie bitten über den Online-Katalog der UB. Bereitstellung in der BB Golm (mindestens eine Stunde vorher bestellt: Mo - Fr: 09:00, 12:00 und 15:00 Uhr. Bereitstellung an anderen Standorten: i.d.R. am nächsten Öffnungstag, ausgenommen Samstag und Sonntag"
2201,@golm,Magazin,"Bestellen Sie bitten über den Online-Katalog der UB. Bereitstellung in der BB Golm (mindestens eine Stunde vorher bestellt: Mo - Fr: 09:00, 12:00 und 15:00 Uhr. Bereitstellung an anderen Standorten: i.d.R. am nächsten Öffnungstag, ausgenommen Samstag und Sonntag"
2202,@golm,"Magazin, Bestand mit Benutzungseinschränkungen",Bitte wenden Sie sich an die Informationsplätze der Bereichsbibliotheken.
2203,@golm,Magazin,"Bestellen Sie bitten über den Online-Katalog der UB. Bereitstellung in der BB Golm (mindestens eine Stunde vorher bestellt: Mo - Fr: 09:00, 12:00 und 15:00 Uhr. Bereitstellung an anderen Standorten: i.d.R. am nächsten Öffnungstag, ausgenommen Samstag und Sonntag"
2204,@golm,Magazin,"Bestellen Sie bitten über den Online-Katalog der UB. Bereitstellung in der BB Golm (mindestens eine Stunde vorher bestellt: Mo - Fr: 09:00, 12:00 und 15:00 Uhr. Bereitstellung an anderen Standorten: i.d.R. am nächsten Öffnungstag, ausgenommen Samstag und Sonntag"
2206,@golm,Magazin,"Bestellen Sie bitten über den Online-Katalog der UB. Bereitstellung in der BB Golm (mindestens eine Stunde vorher bestellt: Mo - Fr: 09:00, 12:00 und 15:00 Uhr. Bereitstellung an anderen Standorten: i.d.R. am nächsten Öffnungstag, ausgenommen Samstag und Sonntag"
2207,@golm,"Magazin, Bestand mit Benutzungseinschränkungen",Bitte wenden Sie sich an die Informationsplätze der Bereichsbibliotheken.
