SST,	Standortcode,	Aufstellungsort
mw,	@MW,	Teilbibliothek Musikwissenschaft hochschulzentrum am horn
hsaha,	@HSA,	Hochschularchiv | Thüringisches Landesmusikarchiv hochschulzentrum am horn
jazz,	@JAZZ,	Lippmann+Rau-Musikarchiv Eisenach
altb,	@,	Altbestand im Container Hauptbibliothek Platz der Demokratie 2
asaha,	@HA,	Handapparat ASA Platz der Demokratie 3
fbha,	@HA,	Handapparate der Fakultäten Dienstexemplar
g,	@,	Großformat im Magazin Hauptbibliothek Platz der Demokratie 2
paha,	@HA,	Handapparat Personalangelegenheiten Platz der Demokratie 3
hhha,	@HA,	Handapparat Haushalt Platz der Demokratie 3
hsbhaltr,@HA,	Handapparat Leitung Hauptbibliothek Platz der Demokratie 2
hsbhakat,	@HA,	Handapparat Katalogisierung Hauptbibliothek Platz der Demokratie 2
kaha,	@HA,	Handapparat Kanzleramt Platz der Demokratie 3
ls,	@,	Lesesaal Hauptbibliothek Platz der Demokratie 2
mag,	@,	Magazin Hauptbibliothek Platz der Demokratie 2
pal,	@HA,	Schulmusik Am Palais 4
raha,	@HA,	Handapparat Rektoramt Platz der Demokratie 2
rrha,	@HA,	Handapparat Referat im Rektoramt Platz der Demokratie 3
teha,	@HA,	Handapparat Technik
th,	@,	Theke Hauptbibliothek Platz der Demokratie 2
tsha,	@HA,	Handapparat Tonstudio Platz der Demokratie 2
